"state","s_fips","county","c_fips","ttl_pop","male_pop","female_pop","med_age","male_med_age","female_med_age","white_pop","black_pop","native_pop","asian_pop","pacific_pop","other_race_pop","mult_race_pop","white_nonhisp_pop","hisp_ttl_pop","white_hisp_pop","black_hisp_pop","med_income"
"Alabama",1,"Autauga County",1,55380,26934,28446,38.2,36.9,39.8,42527,10538,140,573,26,378,1198,41315,1565,1212,14,58731
"Delaware",10,"Kent County",1,176699,85199,91500,37.7,36.1,39.7,116954,45424,1289,3552,102,2089,7289,108834,12485,8120,1073,60910
"District of Columbia",11,"District of Columbia",1,692683,328644,364039,34,33.9,34.2,285857,320811,2091,27592,376,34511,21445,253373,76191,32484,6037,86420
"Florida",12,"Alachua County",1,265443,128220,137223,31.6,30.8,32.3,182813,53278,1033,16125,157,2931,9106,162040,26242,20773,634,49689
"Georgia",13,"Appling County",1,18440,9318,9122,40.3,36.7,42.8,13750,3561,97,74,0,783,175,12745,1830,1005,6,40304
"Hawaii",15,"Hawaii County",1,199459,99002,100457,42.7,42,43.3,66493,1266,977,44971,24338,3799,57615,60447,25386,6046,107,62409
"Idaho",16,"Ada County",1,456849,228886,227963,37,36.3,37.8,413350,6274,2407,11617,839,6965,15397,386787,37469,26563,406,66293
"Illinois",17,"Adams County",1,66085,32276,33809,41.5,39.9,43.1,61406,2731,297,527,14,113,997,60589,1059,817,49,52993
"Indiana",18,"Adams County",1,35376,17650,17726,33.5,31.5,35.7,34113,399,26,104,0,460,274,33071,1601,1042,0,52504
"Iowa",19,"Adair County",1,7085,3505,3580,45.4,44,48.2,6911,39,0,48,0,13,74,6801,146,110,0,53363
"Kansas",20,"Allen County",1,12556,6217,6339,41.9,38.9,45.2,11683,125,37,94,30,16,571,11311,446,372,0,45333
"Kentucky",21,"Adair County",1,19222,9540,9682,41.8,40,44.1,18239,603,45,120,0,22,193,17930,376,309,8,38021
"Louisiana",22,"Acadia Parish",1,62457,30442,32015,36.7,35.2,38.3,49556,10841,86,55,0,187,1732,48329,1595,1227,28,43396
"Maine",23,"Androscoggin County",1,107602,52573,55029,41,39.8,42.4,98386,2562,162,839,0,267,5386,97498,1998,888,237,53509
"Maryland",24,"Allegany County",1,71445,37335,34110,41.7,39.7,44.4,62992,5796,100,670,15,206,1666,62135,1277,857,104,45893
"Massachusetts",25,"Barnstable County",1,213496,102086,111410,53.3,51.1,55,195669,6210,1313,3182,109,2565,4448,190593,6616,5076,117,74336
"Michigan",26,"Alcona County",1,10353,5235,5118,58.2,57.8,58.7,10028,41,63,20,7,35,159,9916,155,112,0,40484
"Minnesota",27,"Aitkin County",1,15834,8047,7787,55.5,55.2,55.7,15003,81,326,54,14,41,315,14873,221,130,10,49351
"Mississippi",28,"Adams County",1,31266,16132,15134,41.4,38.7,44.8,12796,17610,95,187,0,240,338,11321,1829,1475,49,29936
"Missouri",29,"Adair County",1,25369,12321,13048,27.6,27.4,27.7,23240,680,29,638,56,83,643,22788,622,452,0,41929
"Montana",30,"Beaverhead County",1,9415,4682,4733,43,43.4,42,8922,7,132,59,5,40,250,8502,465,420,0,43201
"Nebraska",31,"Adams County",1,31587,15846,15741,37.7,36,39.3,29380,203,120,405,6,849,624,27129,3254,2251,15,53023
"Nevada",32,"Churchill County",1,24259,12284,11975,39.7,38.4,42.8,19787,599,1118,676,16,983,1080,17762,3376,2025,6,57824
"New Hampshire",33,"Belknap County",1,60887,30002,30885,47.4,46.8,48.2,58664,400,217,569,10,97,930,57842,1018,822,25,69447
"New Jersey",34,"Atlantic County",1,266105,128791,137314,41.7,40.1,43,174978,38907,1078,21006,146,20316,9674,150070,50150,24908,1618,62110
"New Mexico",35,"Bernalillo County",1,677858,332204,345654,37.6,36.2,39,503337,20127,33349,17885,580,74070,28510,262184,338856,241153,3380,53329
"New York",36,"Albany County",1,306968,148624,158344,37.8,36.5,39,231246,38035,494,20192,129,4085,12787,221542,18325,9704,2724,66252
"North Carolina",37,"Alamance County",1,163324,77542,85782,39.1,38.1,40.1,113953,31926,668,2602,66,10192,3917,104623,20511,9330,250,49688
"North Dakota",38,"Adams County",1,2311,1106,1205,45.6,44.1,48.5,2172,48,24,58,0,0,9,2133,39,39,0,56681
"Ohio",39,"Adams County",1,27776,13824,13952,42,42,42,27455,129,6,8,0,37,141,27243,283,212,30,39079
