"s_fips","c_fips","county","state"
1,55,"ETOWAH COUNTY","ALABAMA"
1,133,"WINSTON COUNTY","ALABAMA"
1,53,"ESCAMBIA COUNTY","ALABAMA"
1,1,"AUTAUGA COUNTY","ALABAMA"
1,3,"BALDWIN COUNTY","ALABAMA"
1,5,"BARBOUR COUNTY","ALABAMA"
1,7,"BIBB COUNTY","ALABAMA"
1,9,"BLOUNT COUNTY","ALABAMA"
1,11,"BULLOCK COUNTY","ALABAMA"
1,13,"BUTLER COUNTY","ALABAMA"
1,15,"CALHOUN COUNTY","ALABAMA"
1,17,"CHAMBERS COUNTY","ALABAMA"
1,19,"CHEROKEE COUNTY","ALABAMA"
1,21,"CHILTON COUNTY","ALABAMA"
1,23,"CHOCTAW COUNTY","ALABAMA"
1,25,"CLARKE COUNTY","ALABAMA"
1,27,"CLAY COUNTY","ALABAMA"
1,29,"CLEBURNE COUNTY","ALABAMA"
1,31,"COFFEE COUNTY","ALABAMA"
1,33,"COLBERT COUNTY","ALABAMA"
1,35,"CONECUH COUNTY","ALABAMA"
1,37,"COOSA COUNTY","ALABAMA"
1,39,"COVINGTON COUNTY","ALABAMA"
1,41,"CRENSHAW COUNTY","ALABAMA"
1,43,"CULLMAN COUNTY","ALABAMA"
1,45,"DALE COUNTY","ALABAMA"
1,47,"DALLAS COUNTY","ALABAMA"
1,49,"DEKALB COUNTY","ALABAMA"
1,51,"ELMORE COUNTY","ALABAMA"
1,79,"LAWRENCE COUNTY","ALABAMA"
1,81,"LEE COUNTY","ALABAMA"
1,57,"FAYETTE COUNTY","ALABAMA"
1,59,"FRANKLIN COUNTY","ALABAMA"
1,61,"GENEVA COUNTY","ALABAMA"
1,63,"GREENE COUNTY","ALABAMA"
1,65,"HALE COUNTY","ALABAMA"
1,67,"HENRY COUNTY","ALABAMA"
1,69,"HOUSTON COUNTY","ALABAMA"
1,71,"JACKSON COUNTY","ALABAMA"
1,73,"JEFFERSON COUNTY","ALABAMA"
1,75,"LAMAR COUNTY","ALABAMA"
1,77,"LAUDERDALE COUNTY","ALABAMA"
1,105,"PERRY COUNTY","ALABAMA"
1,107,"PICKENS COUNTY","ALABAMA"
1,83,"LIMESTONE COUNTY","ALABAMA"
1,85,"LOWNDES COUNTY","ALABAMA"
1,87,"MACON COUNTY","ALABAMA"
1,89,"MADISON COUNTY","ALABAMA"
1,91,"MARENGO COUNTY","ALABAMA"
