"state","s_fips","county","c_fips","weather_type","year"
"SOUTH CAROLINA",45,"ABBEVILLE COUNTY",1,"Hurricane","2017"
"SOUTH CAROLINA",45,"ABBEVILLE COUNTY",1,"Hurricane","2016"
"SOUTH CAROLINA",45,"ABBEVILLE COUNTY",1,"Flood","2015"
"SOUTH CAROLINA",45,"ABBEVILLE COUNTY",1,"Hurricane","2019"
"SOUTH CAROLINA",45,"ABBEVILLE COUNTY",1,"Hurricane","2018"
"SOUTH CAROLINA",45,"ABBEVILLE COUNTY",1,"Severe Storm(s)","2015"
"LOUISIANA",22,"ACADIA PARISH",1,"Coastal Storm","2019"
"LOUISIANA",22,"ACADIA PARISH",1,"Flood","2016"
"LOUISIANA",22,"ACADIA PARISH",1,"Hurricane","2017"
"VIRGINIA",51,"ACCOMACK COUNTY",1,"Hurricane","2018"
"IDAHO",16,"ADA COUNTY",1,"Flood","2017"
"IOWA",19,"ADAIR COUNTY",1,"Flood","2019"
"IOWA",19,"ADAIR COUNTY",1,"Severe Storm(s)","2018"
"KENTUCKY",21,"ADAIR COUNTY",1,"Severe Storm(s)","2016"
"KENTUCKY",21,"ADAIR COUNTY",1,"Snow","2015"
"KENTUCKY",21,"ADAIR COUNTY",1,"Severe Storm(s)","2019"
"MISSOURI",29,"ADAIR COUNTY",1,"Severe Storm(s)","2015"
"MISSOURI",29,"ADAIR COUNTY",1,"Severe Storm(s)","2019"
"OKLAHOMA",40,"ADAIR COUNTY",1,"Severe Storm(s)","2015"
"OKLAHOMA",40,"ADAIR COUNTY",1,"Severe Storm(s)","2019"
"OKLAHOMA",40,"ADAIR COUNTY",1,"Severe Storm(s)","2017"
"OKLAHOMA",40,"ADAIR COUNTY",1,"Severe Storm(s)","2016"
"COLORADO",8,"ADAMS COUNTY",1,"Flood","2015"
"IDAHO",16,"ADAMS COUNTY",3,"Flood","2019"
"ILLINOIS",17,"ADAMS COUNTY",1,"Flood","2019"
"IOWA",19,"ADAMS COUNTY",3,"Flood","2019"
"MISSISSIPPI",28,"ADAMS COUNTY",1,"Severe Storm(s)","2017"
"NEBRASKA",31,"ADAMS COUNTY",1,"Flood","2019"
"NEBRASKA",31,"ADAMS COUNTY",1,"Severe Storm(s)","2015"
"NORTH DAKOTA",38,"ADAMS COUNTY",1,"Flood","2019"
"OHIO",39,"ADAMS COUNTY",1,"Flood","2018"
"OHIO",39,"ADAMS COUNTY",1,"Flood","2019"
"PENNSYLVANIA",42,"ADAMS COUNTY",1,"Snow","2016"
"WASHINGTON",53,"ADAMS COUNTY",1,"Flood","2017"
"WISCONSIN",55,"ADAMS COUNTY",1,"Flood","2016"
"WISCONSIN",55,"ADAMS COUNTY",1,"Flood","2018"
"VERMONT",50,"ADDISON COUNTY",1,"Severe Storm(s)","2015"
"VERMONT",50,"ADDISON COUNTY",1,"Severe Storm(s)","2017"
"VERMONT",50,"ADDISON COUNTY",1,"Severe Storm(s)","2018"
"SOUTH CAROLINA",45,"AIKEN COUNTY",3,"Hurricane","2017"
"SOUTH CAROLINA",45,"AIKEN COUNTY",3,"Hurricane","2018"
"SOUTH CAROLINA",45,"AIKEN COUNTY",3,"Hurricane","2019"
"SOUTH CAROLINA",45,"AIKEN COUNTY",3,"Severe Storm(s)","2015"
"SOUTH CAROLINA",45,"AIKEN COUNTY",3,"Flood","2015"
"SOUTH CAROLINA",45,"AIKEN COUNTY",3,"Hurricane","2016"
"MINNESOTA",27,"AITKIN COUNTY",1,"Flood","2018"
"FLORIDA",12,"ALACHUA COUNTY",1,"Hurricane","2016"
"FLORIDA",12,"ALACHUA COUNTY",1,"Hurricane","2017"
"FLORIDA",12,"ALACHUA COUNTY",1,"Hurricane","2019"
"FLORIDA",12,"ALACHUA COUNTY",1,"Hurricane","2018"
"NORTH CAROLINA",37,"ALAMANCE COUNTY",1,"Hurricane","2018"
"NORTH CAROLINA",37,"ALAMANCE COUNTY",1,"Hurricane","2016"
"NORTH CAROLINA",37,"ALAMANCE COUNTY",1,"Hurricane","2019"
"CALIFORNIA",6,"ALAMEDA COUNTY",1,"Flood","2017"
"CALIFORNIA",6,"ALAMEDA COUNTY",1,"Severe Storm(s)","2017"
"NEW YORK",36,"ALBANY COUNTY",1,"Snow","2017"
"WYOMING",56,"ALBANY COUNTY",1,"Fire","2018"
"WYOMING",56,"ALBANY COUNTY",1,"Flood","2015"
"VIRGINIA",51,"ALBEMARLE COUNTY",3,"Snow","2016"
"VIRGINIA",51,"ALBEMARLE COUNTY",3,"Hurricane","2018"
"MISSISSIPPI",28,"ALCORN COUNTY",3,"Severe Storm(s)","2019"
"ALASKA",2,"ALEUTIANS WEST CENSUS AREA",16,"Severe Storm(s)","2016"
"ILLINOIS",17,"ALEXANDER COUNTY",3,"Flood","2019"
