"c_fips","s_fips","state","county","ttl_pop","male_pop","med_age","male_med_age","female_med_age","white_pop","black_pop","native_pop","asian_pop","pacific_pop","other_race_pop","mult_race_pop","white_nonhisp_pop","hisp_ttl_pop","white_hisp_pop","black_hisp_pop","med_income","hurricane_2016","hurricane_2017","hurricane_2018","hurricane_2019","hurricane_2015","any_weather_2016","any_weather_2017","any_weather_2018","any_weather_2019","any_weather_2015","prop_dem","prop_rep","prop_lib","prop_green","prop_other","ttl_votes","happening","happening_oppose","weather_flag","hurricane_flag","poli_lean"
1,1,"ALABAMA","AUTAUGA COUNTY",55380,0.4863488624052,38.2,36.9,39.8,0.767912603828097,0.190285301552907,0.0025279884434814,0.0103466955579632,0.000469483568075117,0.00682556879739978,0.0216323582520766,0.746027446731672,0.0282592993860599,0.0218851570964247,0.00025279884434814,58731,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.270183651422398,0.714368023046453,0,0,0.0154483255311487,0.501444564824847,58.925,17.91,FALSE,FALSE,"red"
1,10,"DELAWARE","KENT COUNTY",176699,0.482170244313777,37.7,36.1,39.7,0.661882636574061,0.257069932484055,0.00729489131234472,0.0201019813354914,0.000577252842404315,0.0118223645861041,0.0412509408655397,0.615928782845404,0.0706568797786066,0.0459538537286572,0.0060724735284297,60910,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.511944843435794,0.471232404481471,0.0119965527147371,0.0048261993679977,0,0.492504202061132,69.865,11.311,FALSE,FALSE,"blue"
1,11,"DISTRICT OF COLUMBIA","DISTRICT OF COLUMBIA",692683,0.474450794952381,34,33.9,34.2,0.412680836688644,0.463142591921557,0.00301869686422216,0.0398335169189947,0.000542816844068643,0.0498222130469493,0.030959327715564,0.36578492614948,0.109994037676686,0.0468959105391644,0.00871538640330425,86420,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.921496939214069,0.0539732137671479,0.00591248591573836,0.00501225475960924,0.0136051063434353,0.497133609457717,85.756,4.718,FALSE,FALSE,"blue"
1,12,"FLORIDA","ALACHUA COUNTY",265443,0.483041556944429,31.6,30.8,32.3,0.688709063716127,0.2007135241841,0.00389160761444077,0.0607475051140923,0.000591464080800775,0.0110419186039941,0.0343049166864449,0.610451207980621,0.0988611490979231,0.0782578557355063,0.00238846004603625,49689,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.629042663599899,0.357437379035651,0.00974727216627864,0.00211775265770946,0.0016549325404617,0.537230215149769,77.262,9.111,TRUE,TRUE,"blue"
1,13,"GEORGIA","APPLING COUNTY",18440,0.50531453362256,40.3,36.7,42.8,0.745661605206074,0.193112798264642,0.00526030368763558,0.00401301518438178,0,0.0424620390455531,0.00949023861171367,0.691160520607375,0.0992407809110629,0.0545010845986985,0.000325379609544469,40304,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.21328377892339,0.782400191823522,0.00431602925308716,0,0,0.452331887201735,61.507,16.452,FALSE,FALSE,"red"
1,15,"HAWAII","HAWAII COUNTY",199459,0.496352633874631,42.7,42,43.3,0.333366757077896,0.00634716909239493,0.00489824976561599,0.225464882507182,0.122020064273861,0.0190465208388691,0.288856356444182,0.303054763134278,0.127274276919066,0.0303119939436175,0.000536451100226112,62409,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.668811351265174,0.306295123784362,0.0116951738902681,0.00916710319539026,0.00403124786480516,0.440260905750054,80.886,7.789,FALSE,FALSE,"blue"
1,16,"IDAHO","ADA COUNTY",456849,0.501010180606721,37,36.3,37.8,0.904784731935497,0.0137332028744727,0.00526869928575963,0.0254285332790484,0.00183649302066985,0.0152457376507336,0.0337026019538184,0.846640793785255,0.0820161585118934,0.0581439381502422,0.000888696265067889,66293,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.464703591902509,0.503872562059301,0.0204711842059609,0,0.0109526618322288,0.567778412560824,71.697,13.244,FALSE,FALSE,"red"
1,17,"ILLINOIS","ADAMS COUNTY",66085,0.488401301354316,41.5,39.9,43.1,0.929197245971098,0.0413255655595067,0.00449421199969736,0.00797457819474919,0.000211848377090111,0.0017099190436559,0.0150866308542029,0.916834379965196,0.0160248165241734,0.0123628660059015,0.000741469319815389,52993,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.257493960091866,0.722402839502491,0.0144062994004832,0.00304232409699645,0.00265457690816357,0.507331467050011,63.851,16.958,FALSE,FALSE,"red"
1,18,"INDIANA","ADAMS COUNTY",35376,0.498925825418363,33.5,31.5,35.7,0.964297829036635,0.0112788331071913,0.000734961555857078,0.00293984622342831,0,0.0130031659882406,0.00774536408864767,0.934842831298055,0.045256671189507,0.0294549977385798,0,52504,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.227742979801534,0.752058554437328,0.0201984657611373,0,0,0.401656490275893,64.016,16.148,FALSE,FALSE,"red"
1,19,"IOWA","ADAIR COUNTY",7085,0.494707127734651,45.4,44,48.2,0.975441072688779,0.0055045871559633,0,0.00677487649964714,0,0.0018348623853211,0.0104446012702893,0.959915314043754,0.0206069160197601,0.0155257586450247,0,53363,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.286808714388317,0.699545128082356,0.00837921953555183,0.000957625089777352,0.00430931290399808,0.589555398729711,63.166,16.974,FALSE,FALSE,"red"
1,20,"KANSAS","ALLEN COUNTY",12556,0.495141764893278,41.9,38.9,45.2,0.930471487734947,0.00995539980885632,0.00294679834342147,0.00748646065625996,0.00238929595412552,0.00127429117553361,0.0454762663268557,0.900844217903791,0.0355208665179994,0.0296272698311564,0,45333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.266463000678887,0.715885947046843,0.0176510522742702,0,0,0.469257725390252,62.757,18.187,FALSE,FALSE,"red"
1,21,"KENTUCKY","ADAIR COUNTY",19222,0.49630631567995,41.8,40,44.1,0.948860680470294,0.0313703048590157,0.00234106752679222,0.00624284673811258,0,0.00114452190198731,0.0100405785037977,0.932785350119655,0.0195609197794194,0.0160753303506399,0.000416189782540839,38021,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.158849709003766,0.830309254821408,0.00684697021567956,0,0.00399406595914641,0.455883883050671,58.957,19.776,TRUE,FALSE,"red"
1,22,"LOUISIANA","ACADIA PARISH",62457,0.487407336247338,36.7,35.2,38.3,0.793441888018957,0.173575419888884,0.00137694733976976,0.000880605856829499,0,0.0029940599132203,0.0277310789823399,0.77379637190387,0.0255375698480555,0.0196455161150872,0.000448308436204108,43396,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.191486367634125,0.794934036939314,0.00847845206684257,0,0.00510114335971856,0.455113117825064,60.588,18.44,TRUE,FALSE,"red"
1,23,"MAINE","ANDROSCOGGIN COUNTY",107602,0.488587572721697,41,39.8,42.4,0.914351034367391,0.0238099663575026,0.00150554822401071,0.00779725283916656,0,0.00248136651735098,0.0500548316945782,0.906098399657999,0.018568428096132,0.00825263470939202,0.00220256129068233,53509,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.46523811930392,0.493050993076262,0.0186149155169219,0.0101581846667004,0.0129377874361955,0.551671902009256,68.977,13.018,FALSE,FALSE,"red"
1,24,"MARYLAND","ALLEGANY COUNTY",71445,0.522569808943943,41.7,39.7,44.4,0.881685212401148,0.0811253411715305,0.00139967807404297,0.0093778430960879,0.000209951711106446,0.00288333683252852,0.0233186367135559,0.8696899713066,0.0178738890055287,0.0119952410945483,0.00145566519700469,45893,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.29888058483731,0.681635716849972,0.0100518912568128,0.00391632126888809,0.0055154857870174,0.428875358667506,64.506,15.853,FALSE,FALSE,"red"
1,25,"MASSACHUSETTS","BARNSTABLE COUNTY",213496,0.47816352531195,53.3,51.1,55,0.916499606550006,0.0290871960130401,0.0061499981264286,0.0149042605013677,0.000510548206992169,0.0120142766140818,0.0208341139880841,0.892723985461086,0.0309888709858733,0.0237756210889197,0.000548019635028291,74336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.607173029199007,0.36506019325202,0.0122498547969798,0.0042108875864618,0.0113060351655314,0.709671375576123,73.49,10.269,FALSE,FALSE,"blue"
1,26,"MICHIGAN","ALCONA COUNTY",10353,0.5056505360765,58.2,57.8,58.7,0.968608132908336,0.0039602047715638,0.00608519269776876,0.00193180720564088,0.000676132521974307,0.00338066260987153,0.015357867284845,0.957790012556747,0.0149715058437168,0.0108181203515889,0,40484,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.303227633069083,0.686296715741789,0.00707814269535674,0.00155719139297848,0.00184031710079275,0.682314305032358,62.403,17.594,FALSE,FALSE,"red"
1,27,"MINNESOTA","AITKIN COUNTY",15834,0.508210180623974,55.5,55.2,55.7,0.947517999242137,0.00511557408109132,0.0205886067955033,0.00341038272072755,0.000884173297966401,0.00258936465833018,0.019893899204244,0.939307818618163,0.0139573070607553,0.00821018062397373,0.000631552355690287,49351,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.359800498753117,0.624239401496259,0.00548628428927681,0.00239401496259352,0.00807980049875312,0.633131236579512,64.398,16.091,FALSE,FALSE,"red"
1,28,"MISSISSIPPI","ADAMS COUNTY",31266,0.515959828567773,41.4,38.7,44.8,0.409262457621698,0.563231625407791,0.00303844431650995,0.00598093775986695,0,0.00767606985223566,0.0108104650418985,0.362086611654833,0.0584980489989126,0.047175845966865,0.00156719759483145,29936,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.57540518933062,0.413983574387674,0.00348862562686242,0.000726797005596337,0.00639581364924777,0.440062687903793,68.772,8.828,FALSE,FALSE,"blue"
1,29,"MISSOURI","ADAIR COUNTY",25369,0.485671488824944,27.6,27.4,27.7,0.916078678702353,0.0268043675351807,0.00114312743900035,0.0251488036580078,0.00220741850289724,0.00327170956679412,0.0253458945957665,0.898261657928968,0.02451811265718,0.0178170207733848,0,41929,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.358939628482972,0.620452786377709,0.0151896284829721,0.00416021671826625,0.0012577399380805,0.407426386534747,67.329,14.255,FALSE,FALSE,"red"
1,30,"MONTANA","BEAVERHEAD COUNTY",9415,0.497291556027615,43,43.4,42,0.947636749867233,0.000743494423791822,0.0140201805629315,0.00626659585767392,0.000531067445565587,0.00424853956452469,0.0265533722782793,0.903027084439724,0.0493892724375996,0.0446096654275093,0,43201,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.28404875463699,0.692987104751811,0.0229641406111994,0,0,0.601274561869357,65.219,17.549,FALSE,FALSE,"red"
1,31,"NEBRASKA","ADAMS COUNTY",31587,0.501662076170576,37.7,36,39.3,0.930129483648336,0.00642669452622914,0.00379903124703201,0.012821730458733,0.0001899515623516,0.0268781460727514,0.0197549624845664,0.858865989172761,0.103017063982018,0.0712634944755754,0.000474878905879001,53023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.288522120257499,0.690658813861115,0.0208190658813861,0,0,0.462278785576345,60.358,18.15,FALSE,FALSE,"red"
1,32,"NEVADA","CHURCHILL COUNTY",24259,0.506368770353271,39.7,38.4,42.8,0.815656045179109,0.0246918669359825,0.0460859887052228,0.0278659466589719,0.000659549033348448,0.0405210437363453,0.0445195597510202,0.732181870645946,0.139164846036523,0.083474174533163,0.000247330887505668,57824,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.236627591025541,0.727195093548638,0.021892710193308,0,0.014284605232513,0.530978193660085,61.42,19.549,FALSE,FALSE,"red"
1,33,"NEW HAMPSHIRE","BELKNAP COUNTY",60887,0.492748862647199,47.4,46.8,48.2,0.963489743294956,0.00656954686550495,0.00356397917453644,0.00934518041618079,0.000164238671637624,0.00159311511488495,0.015274196462299,0.949989324486344,0.0167194967727101,0.0135004188086127,0.000410596679094059,69447,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.440051053632362,0.544372378942981,0.0155765674246568,0,0,0.630528684284002,65.827,15.286,FALSE,FALSE,"red"
1,34,"NEW JERSEY","ATLANTIC COUNTY",266105,0.483985644764285,41.7,40.1,43,0.657552469889705,0.146209203134101,0.00405103248717611,0.0789387647733038,0.000548655605869863,0.0763458033483024,0.0363540707615415,0.563950320362263,0.188459442701189,0.0936021495274422,0.00608030664587287,62110,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.527083288700359,0.460169533888925,0.00684134227421071,0.00262084824074669,0.0032849868957588,0.526224610586047,74.844,9.655,FALSE,FALSE,"blue"
1,35,"NEW MEXICO","BERNALILLO COUNTY",677858,0.490079043103423,37.6,36.2,39,0.742540473078432,0.0296920593988712,0.0491976195604389,0.0263845820216033,0.000855636431228959,0.109270673208843,0.0420589563005821,0.38678307256092,0.499892307828483,0.355757400517513,0.00498629506474807,53329,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.610085330142637,0.36567587140653,0.0152051387008407,0.00508202399319878,0.00395163575679335,0.468519955506906,75.54,10.408,FALSE,FALSE,"blue"
