"state","s_fips","county","c_fips","happening","happening_oppose"
"ALABAMA",1,"AUTAUGA COUNTY",1,58.925,17.91
"DELAWARE",10,"KENT COUNTY",1,69.865,11.311
"DISTRICT OF COLUMBIA",11,"DISTRICT OF COLUMBIA",1,85.756,4.718
"FLORIDA",12,"ALACHUA COUNTY",1,77.262,9.111
"GEORGIA",13,"APPLING COUNTY",1,61.507,16.452
"HAWAII",15,"HAWAII COUNTY",1,80.886,7.789
"IDAHO",16,"ADA COUNTY",1,71.697,13.244
"ILLINOIS",17,"ADAMS COUNTY",1,63.851,16.958
"INDIANA",18,"ADAMS COUNTY",1,64.016,16.148
"IOWA",19,"ADAIR COUNTY",1,63.166,16.974
"KANSAS",20,"ALLEN COUNTY",1,62.757,18.187
"KENTUCKY",21,"ADAIR COUNTY",1,58.957,19.776
"LOUISIANA",22,"ACADIA PARISH",1,60.588,18.44
"MAINE",23,"ANDROSCOGGIN COUNTY",1,68.977,13.018
"MARYLAND",24,"ALLEGANY COUNTY",1,64.506,15.853
"MASSACHUSETTS",25,"BARNSTABLE COUNTY",1,73.49,10.269
"MICHIGAN",26,"ALCONA COUNTY",1,62.403,17.594
"MINNESOTA",27,"AITKIN COUNTY",1,64.398,16.091
"MISSISSIPPI",28,"ADAMS COUNTY",1,68.772,8.828
"MISSOURI",29,"ADAIR COUNTY",1,67.329,14.255
"MONTANA",30,"BEAVERHEAD COUNTY",1,65.219,17.549
"NEBRASKA",31,"ADAMS COUNTY",1,60.358,18.15
"NEVADA",32,"CHURCHILL COUNTY",1,61.42,19.549
"NEW HAMPSHIRE",33,"BELKNAP COUNTY",1,65.827,15.286
"NEW JERSEY",34,"ATLANTIC COUNTY",1,74.844,9.655
"NEW MEXICO",35,"BERNALILLO COUNTY",1,75.54,10.408
"NEW YORK",36,"ALBANY COUNTY",1,77.709,7.952
"NORTH CAROLINA",37,"ALAMANCE COUNTY",1,71.198,12.093
"NORTH DAKOTA",38,"ADAMS COUNTY",1,64.12,17.397
"OHIO",39,"ADAMS COUNTY",1,56.006,17.27
"ARIZONA",4,"APACHE COUNTY",1,69.358,9.788
"OKLAHOMA",40,"ADAIR COUNTY",1,60.171,18.872
"OREGON",41,"BAKER COUNTY",1,67.286,16.084
"PENNSYLVANIA",42,"ADAMS COUNTY",1,64.64,17.98
"RHODE ISLAND",44,"BRISTOL COUNTY",1,72.274,12.005
"SOUTH CAROLINA",45,"ABBEVILLE COUNTY",1,66.592,12.699
"TENNESSEE",47,"ANDERSON COUNTY",1,61.298,17.801
"TEXAS",48,"ANDERSON COUNTY",1,62.53,17.141
"UTAH",49,"BEAVER COUNTY",1,58.874,21.406
"ARKANSAS",5,"ARKANSAS COUNTY",1,66.804,13.462
"VERMONT",50,"ADDISON COUNTY",1,75.383,9.896
"VIRGINIA",51,"ACCOMACK COUNTY",1,67.671,10.77
"WASHINGTON",53,"ADAMS COUNTY",1,69.327,12.401
"WEST VIRGINIA",54,"BARBOUR COUNTY",1,63.181,17.646
"WISCONSIN",55,"ADAMS COUNTY",1,65.321,14.242
"WYOMING",56,"ALBANY COUNTY",1,70.795,13.505
"CALIFORNIA",6,"ALAMEDA COUNTY",1,86.126,5.093
"COLORADO",8,"ADAMS COUNTY",1,76.295,9.874
"CONNECTICUT",9,"FAIRFIELD COUNTY",1,76.24,8.178
"ALASKA",2,"HAINES BOROUGH",100,73.24,12.181
"ALABAMA",1,"MONTGOMERY COUNTY",101,72.322,8.014
"FLORIDA",12,"PASCO COUNTY",101,75.298,12.359
"GEORGIA",13,"ECHOLS COUNTY",101,57.25,20.45
"ILLINOIS",17,"LAWRENCE COUNTY",101,60.421,18.08
"INDIANA",18,"MARTIN COUNTY",101,59.573,19.591
"IOWA",19,"JEFFERSON COUNTY",101,72.636,11.52
"KANSAS",20,"LANE COUNTY",101,58.308,21.992
"KENTUCKY",21,"HENDERSON COUNTY",101,58.424,16.883
"LOUISIANA",22,"ST. MARY PARISH",101,62.827,14.967
"MICHIGAN",26,"MANISTEE COUNTY",101,67.528,14.217
"MINNESOTA",27,"MURRAY COUNTY",101,64.285,16.124
"MISSISSIPPI",28,"NEWTON COUNTY",101,63.862,14.008
"MISSOURI",29,"JOHNSON COUNTY",101,63.769,17.455
"MONTANA",30,"TOOLE COUNTY",101,64.771,16.861
"NEBRASKA",31,"KEITH COUNTY",101,60.559,19.999
"NEW YORK",36,"STEUBEN COUNTY",101,66.125,15.141
"NORTH CAROLINA",37,"JOHNSTON COUNTY",101,67.708,15.432
"NORTH DAKOTA",38,"WARD COUNTY",101,63.921,18.16
"OHIO",39,"MARION COUNTY",101,62.175,16.101
"OKLAHOMA",40,"MUSKOGEE COUNTY",101,60.252,15.604
"PENNSYLVANIA",42,"PHILADELPHIA COUNTY",101,80.207,4.552
"SOUTH DAKOTA",46,"MOODY COUNTY",101,67.382,14.193
"TENNESSEE",47,"LEWIS COUNTY",101,59.572,18.579
"TEXAS",48,"COTTLE COUNTY",101,65.122,15.44
"ARKANSAS",5,"NEWTON COUNTY",101,59.898,19.839
"VIRGINIA",51,"KING WILLIAM COUNTY",101,62.527,16.394
"WEST VIRGINIA",54,"WEBSTER COUNTY",101,58.639,19.488
"WISCONSIN",55,"RACINE COUNTY",101,67.523,13.042
"CALIFORNIA",6,"SUTTER COUNTY",101,67.594,12.513
"COLORADO",8,"PUEBLO COUNTY",101,69.605,13.471
"SOUTH DAKOTA",46,"OGLALA LAKOTA COUNTY",102,79.476,6.716
"ALABAMA",1,"MORGAN COUNTY",103,56.532,19.829
"FLORIDA",12,"PINELLAS COUNTY",103,72.715,11.003
"GEORGIA",13,"EFFINGHAM COUNTY",103,60.475,18.26
"ILLINOIS",17,"LEE COUNTY",103,64.754,15.679
"INDIANA",18,"MIAMI COUNTY",103,56.588,19.031
"IOWA",19,"JOHNSON COUNTY",103,78.354,8.485
"KANSAS",20,"LEAVENWORTH COUNTY",103,67.797,15.043
"KENTUCKY",21,"HENRY COUNTY",103,59.995,17.867
"LOUISIANA",22,"ST. TAMMANY PARISH",103,61.96,19.333
"MICHIGAN",26,"MARQUETTE COUNTY",103,70.108,12.564
"MINNESOTA",27,"NICOLLET COUNTY",103,70.957,12.895
"MISSISSIPPI",28,"NOXUBEE COUNTY",103,73.128,5.865
"MISSOURI",29,"KNOX COUNTY",103,61.071,18.206
"MONTANA",30,"TREASURE COUNTY",103,64.264,18.073
"NEBRASKA",31,"KEYA PAHA COUNTY",103,66.812,16.308
"NEW YORK",36,"SUFFOLK COUNTY",103,76.862,9.265
"NORTH CAROLINA",37,"JONES COUNTY",103,68.748,11.821
"NORTH DAKOTA",38,"WELLS COUNTY",103,63.557,17.446
"OHIO",39,"MEDINA COUNTY",103,66.195,15.848
"OKLAHOMA",40,"NOBLE COUNTY",103,53.046,20.622
"PENNSYLVANIA",42,"PIKE COUNTY",103,66.88,14.46
"SOUTH DAKOTA",46,"PENNINGTON COUNTY",103,63.553,17.518
"TENNESSEE",47,"LINCOLN COUNTY",103,56.12,21.471
"TEXAS",48,"CRANE COUNTY",103,64.739,15.792
"ARKANSAS",5,"OUACHITA COUNTY",103,68.483,11.734
"VIRGINIA",51,"LANCASTER COUNTY",103,70.553,11.281
"WEST VIRGINIA",54,"WETZEL COUNTY",103,57.692,20.741
"WISCONSIN",55,"RICHLAND COUNTY",103,65.7,14.902
"CALIFORNIA",6,"TEHAMA COUNTY",103,66.354,15.121
"COLORADO",8,"RIO BLANCO COUNTY",103,62.099,19.71
"ALABAMA",1,"PERRY COUNTY",105,70.238,7.063
"FLORIDA",12,"POLK COUNTY",105,72.623,11.074
"GEORGIA",13,"ELBERT COUNTY",105,63.852,14.008
"ILLINOIS",17,"LIVINGSTON COUNTY",105,60.919,16.953
