disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh,id
3397,2018-02-11T00:00:00.000Z,TROPICAL STORM GITA,2018-02-07T00:00:00.000Z,2018-02-12T00:00:00.000Z,Emergency,AS,American Samoa,Hurricane,2018-02-11T00:00:00.000Z,2018-09-26T00:00:00.000Z,,0d548a11763653005b93ff0697cacdc6bc9c9cce,2021-07-13T23:01:15.083Z,5aa2d570cb4f0f7020b1703a
3390,2017-09-18T00:00:00.000Z,HURRICANE MARIA,2017-09-16T00:00:00.000Z,2017-09-22T00:00:00.000Z,Emergency,VI,Virgin Islands of the U.S.,Hurricane,2017-09-18T00:00:00.000Z,2018-09-07T00:00:00.000Z,2018-09-07T00:00:00.000Z,2f759fed8f206694f47538ffda1be535c6aa234f,2021-07-13T23:01:15.162Z,5aa2d570cb4f0f7020b1703f
4352,2017-12-20T00:00:00.000Z,SEVERE STORMS AND FLOODING,2017-10-04T00:00:00.000Z,2017-10-06T00:00:00.000Z,Major Disaster,NM,New Mexico,Flood,2017-12-21T00:00:00.000Z,2017-12-21T00:00:00.000Z,,9426023f5a3c2be37671a5bb498848756552c2a4,2021-07-13T23:01:15.087Z,5aa2d570cb4f0f7020b1703b
3388,2017-09-08T00:00:00.000Z,HURRICANE IRMA,2017-09-04T00:00:00.000Z,2017-10-04T00:00:00.000Z,Emergency,FL,Florida,Hurricane,2017-09-09T00:00:00.000Z,2018-04-03T00:00:00.000Z,2018-03-28T00:00:00.000Z,0302a9f6b2dcbec3c243c6f03807b733d263983f,2021-07-13T23:01:15.173Z,5aa2d570cb4f0f7020b17040
3395,2017-10-08T00:00:00.000Z,HURRICANE NATE,2017-10-07T00:00:00.000Z,2017-10-11T00:00:00.000Z,Emergency,FL,Florida,Hurricane,2017-10-08T00:00:00.000Z,2017-10-13T00:00:00.000Z,,8e70993c0499f478a5db4b69e761d53db128ea87,2021-07-13T23:01:15.114Z,5aa2d570cb4f0f7020b1703d
3392,2017-10-06T00:00:00.000Z,TROPICAL STORM NATE,2017-10-05T00:00:00.000Z,2017-10-08T00:00:00.000Z,Emergency,LA,Louisiana,Hurricane,2017-10-06T00:00:00.000Z,2017-10-13T00:00:00.000Z,,df6da42bd45d0819eb850e937f551d08826f0e75,2021-07-13T23:01:15.154Z,5aa2d570cb4f0f7020b1703e
4332,2017-08-25T00:00:00.000Z,HURRICANE HARVEY,2017-08-23T00:00:00.000Z,2017-09-15T00:00:00.000Z,Major Disaster,TX,Texas,Hurricane,2017-08-26T00:00:00.000Z,2017-09-15T00:00:00.000Z,,b5216b615cad6f6ba24751905d0b9d9c6b33fc68,2021-07-13T23:01:15.187Z,5aa2d570cb4f0f7020b17042
4348,2017-11-14T00:00:00.000Z,FLOODING,2017-05-02T00:00:00.000Z,2017-08-06T00:00:00.000Z,Major Disaster,NY,New York,Flood,2017-11-14T00:00:00.000Z,2017-11-14T00:00:00.000Z,,d89a6c4e2b158cb462f414edb73991285f8b47fd,2021-07-13T23:01:15.097Z,5aa2d570cb4f0f7020b1703c
3384,2017-09-05T00:00:00.000Z,HURRICANE IRMA,2017-09-05T00:00:00.000Z,2017-09-07T00:00:00.000Z,Emergency,PR,Puerto Rico,Hurricane,2017-09-06T00:00:00.000Z,2017-09-18T00:00:00.000Z,,7381db2d356a86658ab0562d051849619d413f8a,2021-07-13T23:01:15.177Z,5aa2d570cb4f0f7020b17041
4327,2017-08-05T00:00:00.000Z,FLOODING,2017-06-07T00:00:00.000Z,2017-06-22T00:00:00.000Z,Major Disaster,WY,Wyoming,Flood,2017-08-06T00:00:00.000Z,2017-08-06T00:00:00.000Z,,e96f3b1cd09ff58f7c341c878adcbcce10f2e57e,2021-07-13T23:01:15.196Z,5aa2d570cb4f0f7020b17043
4302,2017-02-14T00:00:00.000Z,SEVERE WINTER STORM,2017-01-03T00:00:00.000Z,2017-01-05T00:00:00.000Z,Major Disaster,CA,California,Severe Storm(s),2017-02-15T00:00:00.000Z,2017-02-15T00:00:00.000Z,,c9fadc71dc3046c04721e1d5be4d0b5aba82aba2,2021-07-13T23:01:15.284Z,5aa2d570cb4f0f7020b17048
4342,2017-10-07T00:00:00.000Z,FLOODING,2017-03-29T00:00:00.000Z,2017-06-15T00:00:00.000Z,Major Disaster,ID,Idaho,Flood,2017-10-07T00:00:00.000Z,2017-10-07T00:00:00.000Z,,625c32fd7217d1a833c71331429d688feb10560e,2021-07-13T23:01:15.153Z,5aa2d570cb4f0f7020b1704d
4328,2017-08-08T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2017-01-07T00:00:00.000Z,2017-01-10T00:00:00.000Z,Major Disaster,OR,Oregon,Severe Storm(s),2017-08-08T00:00:00.000Z,2017-08-08T00:00:00.000Z,,78581df347ac3f9e9f221da359e32d8061d22b26,2021-07-13T23:01:15.195Z,5aa2d570cb4f0f7020b17052
4303,2017-02-17T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",2017-01-05T00:00:00.000Z,2017-01-14T00:00:00.000Z,Major Disaster,NV,Nevada,Severe Storm(s),2017-02-18T00:00:00.000Z,2017-02-18T00:00:00.000Z,,bfb8c947026c9953006016f9827a0198551e5188,2021-07-13T23:01:15.283Z,5aa2d570cb4f0f7020b17057
4341,2017-09-27T00:00:00.000Z,HURRICANE IRMA - SEMINOLE TRIBE OF FLORIDA,2017-09-04T00:00:00.000Z,2017-10-04T00:00:00.000Z,Major Disaster,FL,Florida,Hurricane,2017-09-27T00:00:00.000Z,2017-10-13T00:00:00.000Z,,e7b9cf1180401d13ad4401c951af30a9a2608875,2021-07-13T23:01:15.155Z,5aa2d570cb4f0f7020b1705c
