EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
898085,CENTRAL & EASTERN LAKE COUNTY (ZONE), ,07/21/2020,1300,Wildfire, , ,0,0,0,0,OR,PST-8, ,149021,Z,31,MFR,0,0,Other Federal Agency, , , , , , , , ,07/31/2020,2359, , , , ,"The Ben Young fire was started by an unknown source on 07/21/20 at around 1300 PDT.  As of the last report on 08/01/20 at 06:30 PDT, the fire had burned 1249 acres and was 100 percent contained.  2.3 million dollars had been expended on firefighting efforts.","The Ben Young fire was started by an unknown source on 07/21/20 at around 1300 PDT.  As of the last report on 08/01/20 at 06:30 PDT, the fire had burned 1249 acres and was 100 percent contained.  2.3 million dollars had been expended on firefighting efforts.",1
902585,LOWER COLUMBIA BASIN (ZONE), ,07/28/2020,1100,Heat, , ,0,0,0,0,OR,PST-8, ,149738,Z,44,PDT,0,0,ASOS, , , , , , , , ,07/31/2020,1900, , , , ,"High temperature peaked at 110 degrees on the afternoon of July 30 at KHRI.","An Upper level ridge built over the region the last week of July resulting in very hot temperatures and may record highs. Temperatures exceeded 105 degrees in many locations.",2
902588,CENTRAL OREGON (ZONE), ,07/28/2020,1100,Heat, , ,0,0,0,0,OR,PST-8, ,149738,Z,511,PDT,0,0,ASOS, , , , , , , , ,07/31/2020,1900, , , , ,"High temperature peaked at 104 degrees on the afternoon of July 30 at Redmond and 100 at Bend on July 31.","An Upper level ridge built over the region the last week of July resulting in very hot temperatures and may record highs. Temperatures exceeded 105 degrees in many locations.",3
902582,FOOTHILLS OF THE NORTHERN BLUE MOUNTAINS OF OREGON (ZONE), ,07/28/2020,1100,Heat, , ,0,0,0,0,OR,PST-8, ,149738,Z,507,PDT,0,0,ASOS, , , , , , , , ,07/31/2020,1900, , , , ,"High temperature peaked at 109 degrees on the afternoon of July 30 at KPDT ASOS.","An Upper level ridge built over the region the last week of July resulting in very hot temperatures and may record highs. Temperatures exceeded 105 degrees in many locations.",4
902583,EASTERN COLUMBIA RIVER GORGE (ZONE), ,07/28/2020,1100,Heat, , ,0,0,0,0,OR,PST-8, ,149738,Z,41,PDT,0,0,ASOS, , , , , , , , ,07/31/2020,1900, , , , ,"High temperature peaked at 108 degrees on the afternoon of Jul 30 at KDLS.","An Upper level ridge built over the region the last week of July resulting in very hot temperatures and may record highs. Temperatures exceeded 105 degrees in many locations.",5
902586,FOOTHILLS OF THE SOUTHERN BLUE MOUNTAINS OF OREGON (ZONE), ,07/28/2020,1100,Heat, , ,0,0,0,0,OR,PST-8, ,149738,Z,508,PDT,0,0,AWOS, , , , , , , , ,07/31/2020,1900, , , , ,"High temperature peaked at 103 degrees on the afternoon of July 31 at Heppner.","An Upper level ridge built over the region the last week of July resulting in very hot temperatures and may record highs. Temperatures exceeded 105 degrees in many locations.",6
902622,NORTH CENTRAL OREGON (ZONE), ,07/28/2020,1100,Heat, , ,0,0,0,0,OR,PST-8, ,149738,Z,510,PDT,0,0,COOP Observer, , , , , , , , ,07/31/2020,1900, , , , ,"Temperatures peaked on 7/31 at Moro COOP Observer with high temperature of 102 degrees.","An Upper level ridge built over the region the last week of July resulting in very hot temperatures and may record highs. Temperatures exceeded 105 degrees in many locations.",7
902593,NORTHERN BLUE MOUNTAINS (ZONE), ,07/28/2020,1100,Heat, , ,0,0,0,0,OR,PST-8, ,149738,Z,502,PDT,0,0,ASOS, , , , , , , , ,07/31/2020,1900, , , , ,"High temperature peaked at 97 degrees on the afternoon of July 30 at KMEH ASOS.","An Upper level ridge built over the region the last week of July resulting in very hot temperatures and may record highs. Temperatures exceeded 105 degrees in many locations.",8
898086,CENTRAL & EASTERN LAKE COUNTY (ZONE), ,07/28/2020,1417,Wildfire, , ,0,0,0,0,OR,PST-8, ,149022,Z,31,MFR,0,0,Other Federal Agency, , , , , , , , ,07/31/2020,2359, , , , ,"The Dragon Rock fire was started by lightning on 07/28/20 at around 1417 PDT.  As of the last report on 08/01/20 at 06:30 PDT, the fires had burned 858 acres and was 100 percent contained.  306 thousand dollars had been expended on firefighting efforts.","The Dragon Rock fire was started by lightning on 07/28/20 at around 1417 PDT.  As of the last report on 08/01/20 at 06:30 PDT, the fires had burned 858 acres and was 100 percent contained.  306 thousand dollars had been expended on firefighting efforts.",9
897414,DOUGLAS CO.,DIAMOND LAKE,07/28/2020,1845,Hail,1.00, ,0,0,0,0,OR,PST-8, ,148916,C,19,MFR,0,0,Public, , , ,1,W,1,W,DIAMOND LAKE,07/28/2020,1850,43.18,-122.14,43.18,-122.14,"Hail with a diameter of 1.0 inches was reported at 350 Resort Drive at Diamond Lake.","Monsoonal moisture, strong surface heating, and an upper level disturbance combined forces to generate a severe thunderstorm over the southern Oregon Cascades.",10
